onset	duration	block	trial	delay	type	cat	cue	ans	resp	acc	rt	rsvp
20	20	4	1	0	stay	scene	top	-1	-1	1	0.383	-1
40	20	4	2	0	stay	scene	top	-1	-1	1	0.488	-1
60	20	4	3	0	stay	scene	top	1	1	1	0.841	6
80	28	4	4	0	switch	scene	bottom	-1	-1	1	0.358	-1
108	20	4	5	0	stay	scene	top	1	1	1	0.32	4
128	28	4	6	0	switch	scene	top	1	1	1	0.318	5
156	28	4	7	0	switch	scene	bottom	-1	-1	1	0.406	-1
184	20	4	8	0	stay	scene	bottom	-1	-1	1	0.397	-1
204	20	4	9	0	stay	scene	top	-1	-1	1	0.397	-1
224	28	4	10	0	switch	scene	bottom	-1	-1	1	0.318	-1
252	28	4	11	0	switch	scene	top	1	1	1	0.301	3
280	20	4	12	0	stay	scene	bottom	1	1	1	0.261	3
300	20	4	13	0	stay	scene	bottom	1	1	1	0.356	5
320	20	4	14	0	stay	scene	bottom	-1	-1	1	0.413	-1
340	28	4	15	0	switch	scene	top	1	1	1	0.268	3
368	20	4	16	0	stay	scene	bottom	-1	-1	1	0.388	-1
388	20	4	17	0	stay	scene	top	1	1	1	0.299	4
408	20	4	18	0	stay	scene	bottom	1	-1	0	0.515	6
